code;libelle;definition
DIG;DOSSIER D INGENIERIE : REGLES D INGENIERIE UTILISEES;
ETU;RAPPORT D ETUDE;
PSI;PLAN DE SITUATION, SYNOPTIQUE GEOGRAPHIQUE;
PPH;PLAN DE PHASAGE;
PCB;PLAN DE CABLAGE;
PMQ;PLAN DE MASQUE OU FICHE FOA;
DPO;DOSSIER APPUIS AERIENS;
FOT;PHOTO;
PGC;PLAN DE GENIE CIVIL;
DLV;DOSSIER DE LEVE OU D INVESTIGATIONS COMPLEMENTAIRES;
SGC;DETAIL OU SCHEMA DE GENIE CIVIL;
DPI;DOSSIER DE PIQUETAGE;
DBL;DOSSIER DE RELEVE BOITES AUX LETTRES;
KRV;RÈGLEMENT DE VOIRIE;
CPV;PERMISSION OU AUTORISATION DE VOIRIE;
DTT;DT EMISES DANS LE CADRE DU PROJET DE DEPLOIEMENT;
DIT;DICT EMISES DANS LE CADRE DU PROJET DE DEPLOIEMENT;
DAM;DIAGNOSTIC AMIANTE ENROBE;
CIN;CONTRAT OU CONVENTION DE LOCATION/CESSION/ACHAT/OCCUPATION D INFRASTRUCTURE;
CMU;CONTRAT OU CONVENTION DE CO-CONSTRUCTION OU MUTUALISATION DE TRAVAUX;
DIP;DOSSIER D IMPLANTATION (SRO, NRO, BPI…);
SOP;SYNOPTIQUE OPTIQUE;
SBP;PLAN DE BOITE, OU AUTRE ELEMENT DE BRANCHEMENT PASSIF;
SRA;SCHEMA DE RACCORDEMENT (BAIE, ARMOIRE, REPARTITEUR…);
KEQ;DOCUMENTATION TECHNIQUE D EQUIPEMENT;
CIM;CONVENTION THD IMMEUBLE;
CIS;CONVENTION CADRE BAILLEUR SOCIAL;
CDS;RÈGLEMENT DE SERVICE;
COC;AUTRE CONVENTION D OCCUPATION EMPRISE PRIVEE;
MRF;MESURE DE REFLECTOMETRIE;
MFX;TEST D ETANCHEITE DE FOURREAUX ET/OU TESTS DE MANDRINAGE, AIGUILLAGE;
RGC;PV DE RECEPTION GENIE CIVIL;
DIF;DOSSIER INFRASTRUCTURE D ACCUEIL;
DCB;DOSSIER DE CABLAGE;
DOP;DOSSIER OPTIQUE;
DPR;DOSSIER DE PROJET;
DLG;DOSSIER DE LIVRABLES GRACETHD;
DCI;DOSSIER DE COMMANDE POUR LOCATION/OCCUPATION D INFRASTRUCTURE;
DCS;DOSSIER DE CREATION DE SITE;
DRS;DOSSIER DE RACCORDEMENT DE SITE;
KPL;PLAN LOCAL D URBANISME;
RFR;FICHE DE RECETTE;
RVR;PV DE RECEPTION DE VOIRIE;
