code;libelle;definition
A1;CHAMBRE A1;""
A2;CHAMBRE A2;""
A3;CHAMBRE A3;""
A4;CHAMBRE A4;""
A10;CHAMBRE A10;""
A11;CHAMBRE A11;""
A12;CHAMBRE A12;""
A13;CHAMBRE A13;""
A14;CHAMBRE A14;""
A15;CHAMBRE A4;""
A16;CHAMBRE A4;""
A17;CHAMBRE A4;""
A18;CHAMBRE A4;""
B1;CHAMBRE B1;""
B2;CHAMBRE B2;""
B3;CHAMBRE B3;""
B4;CHAMBRE B4;""
C1;CHAMBRE C1;""
C2;CHAMBRE C2;""
C3;CHAMBRE C3;""
C4;CHAMBRE C4;""
D1;CHAMBRE D1;""
D1C;CHAMBRE D1C;""
D1T;CHAMBRE D1T;""
D2;CHAMBRE D2;""
D2C;CHAMBRE D2C;""
D2T;CHAMBRE D2T;""
D3;CHAMBRE D3;""
D3C;CHAMBRE D3C;""
D3T;CHAMBRE D3T;""
D4;CHAMBRE D4;""
D4C;CHAMBRE D4C;""
D4T;CHAMBRE D4T;""
D5;CHAMBRE D5;""
D5C;CHAMBRE D5C;""
D6;CHAMBRE D6;""
D6C;CHAMBRE D6C;""
D11;CHAMBRE D11;""
D12;CHAMBRE D12;""
D13;CHAMBRE D13;""
D14;CHAMBRE D14;""
E1;CHAMBRE E1;""
E2;CHAMBRE E2;""
E3;CHAMBRE E3;""
E4;CHAMBRE E4;""
J2C;CHAMBRE J2C;""
J2CR;CHAMBRE J2C REHAUSSEE;""
K1C;CHAMBRE K1C;""
K1CR;CHAMBRE K1C REHAUSSEE;""
K1T;CHAMBRE K1T;""
K2C;CHAMBRE K2C;""
K2CR;CHAMBRE K2C REHAUSSEE;""
K2T;CHAMBRE K2T;""
K3C;CHAMBRE K3C;""
K3CR;CHAMBRE K3C REHAUSSEE;""
K3T;CHAMBRE K3T;""
L0T;CHAMBRE L0T;""
L0TR;CHAMBRE L0T REHAUSSEE;""
L1C;CHAMBRE L1C;""
L1T;CHAMBRE L1T;""
L1TR;CHAMBRE L1T REHAUSSEE;""
L2C;CHAMBRE L2C;""
L2T;CHAMBRE L2T;""
L2TR;CHAMBRE L2T REHAUSSEE;""
L3C;CHAMBRE L3C;""
L3T;CHAMBRE L3T;""
L3TR;CHAMBRE L3T REHAUSSEE;""
L4C;CHAMBRE L4C;""
L4T;CHAMBRE L4T;""
L4TR;CHAMBRE L4T REHAUSSEE;""
L5C;CHAMBRE L5C;""
L5T;CHAMBRE L5T;""
L5TR;CHAMBRE L5T REHAUSSEE;""
L6T;CHAMBRE L6T;""
L6TR;CHAMBRE L6T REHAUSSEE;""
M1C;CHAMBRE M1C;""
M1CR;CHAMBRE M1C REHAUSSEE;""
M2T;CHAMBRE M2T;""
M2TR;CHAMBRE M2T REHAUSSEE;""
M3C;CHAMBRE M3C;""
M3CR;CHAMBRE M3C REHAUSSEE;""
P1C;CHAMBRE P1C;""
P1CR;CHAMBRE P1C REHAUSSEE;""
P1T;CHAMBRE P1T;""
P1TR;CHAMBRE P1T REHAUSSEE;""
P2C;CHAMBRE P2C;""
P2CR;CHAMBRE P2C REHAUSSEE;""
P2T;CHAMBRE P2T;""
P2TR;CHAMBRE P2T REHAUSSEE;""
P3C;CHAMBRE P3C;""
P3T;CHAMBRE P3T;""
P4C;CHAMBRE P4C;""
P4T;CHAMBRE P4T;""
P5C;CHAMBRE P5C;""
P5T;CHAMBRE P5T;""
P6C;CHAMBRE P6C;""
P6T;CHAMBRE P6T;""
R1T;CHAMBRE R1T;""
R2T;CHAMBRE R2T;""
R3T;CHAMBRE R3T;""
S1;CHAMBRE S1;SNCF Reseau : Chambre prefabriquee aux dimensions standardisees. 
S2;CHAMBRE S2;SNCF Reseau : Chambre prefabriquee aux dimensions standardisees. 
S3;CHAMBRE S3;SNCF Reseau : Chambre prefabriquee aux dimensions standardisees. 
S4;CHAMBRE S4;SNCF Reseau : Chambre prefabriquee aux dimensions standardisees. 
S5;CHAMBRE S5;SNCF Reseau : Chambre prefabriquee aux dimensions standardisees. 
S6;CHAMBRE S6;SNCF Reseau : Chambre prefabriquee aux dimensions standardisees. 
S6bis;CHAMBRE S6bis;SNCF Reseau : Chambre prefabriquee aux dimensions standardisees. 
S7;CHAMBRE S7;SNCF Reseau : Chambre prefabriquee aux dimensions standardisees. 
TU1;CHAMBRE TU1;SNCF Reseau : chambre avec trappes unifiees. 
TU2;CHAMBRE TU2;SNCF Reseau : chambre avec trappes unifiees. 
TU4;CHAMBRE TU4;SNCF Reseau : chambre avec trappes unifiees. 
TU6;CHAMBRE TU6;SNCF Reseau : chambre avec trappes unifiees. 
TU8;CHAMBRE TU8;SNCF Reseau : chambre avec trappes unifiees. 
TU10;CHAMBRE TU10;SNCF Reseau : chambre avec trappes unifiees. 
OHN;OUVRAGE HORS NORMES;""
PBOI;POTEAU BOIS;""
PBET;POTEAU BETON;""
PMET;POTEAU METAL;""
PIND;POTEAU INDETERMINE;""
POTL;POTELET;""
BOU;BOUCHON;""
REG;REGARD 30X30;""
BAL;BALCON;""
CRO;CROCHET;""
FAI;FAITIERE;""
STR;SOUTERRAIN;""
SSO;SOUS-SOL;""
TRA;TRAVERSE;""
Y;SITE MANCHONNAGE Y;Fenêtre ouverture sur fourreaux existant pour mise en Y
IND;INDETERMINE;""
