code;libelle;definition
1;SOUS FAISCEAU ROUGE UNE BAGUE COURTE;
2;SOUS FAISCEAU BLEU DEUX BAGUES COURTES;
3;SOUS FAISCEAU VERT TROIS BAGUES COURTES;
4;SOUS FAISCEAU JAUNE QUATRE BAGUES COURTES;
5;SOUS FAISCEAU VIOLET UNE BAGUE LONGUE;
6;SOUS FAISCEAU BLANC UNE BAGUE LONGUE ET UNE BAGUE COURTE;
1.1;ROUGE (R);#FF0000 - Standard Orange"
1.2;BLEU (BL);#0070C0 - Standard Orange"
1.3;VERT (VE);#92D050 - Standard Orange"
1.4;JAUNE (J);#FFFF00 - Standard Orange"
1.5;VIOLET (V);#7638A3 - Standard Orange"
1.6;BLANC (B);#FFFFFF - Standard Orange"
1.7;ORANGE (OR);#FFC000 - Standard Orange"
1.8;GRIS (GR);#C1C1C1 - Standard Orange"
1.9;MARRON (BR);#993300 - Standard Orange"
1.10;NOIR (N);#000000 - Standard Orange"
1.11;TURQUOISE (TU);#00B0F0 - Standard Orange"
1.12;ROSE (RS);#FF65CC - une bague noire - Standard Orange"
1.13;ROUGE (R) UNE BAGUE NOIRE;#FF0000 - une bague noire - Standard Orange"
1.14;BLEU (BL) UNE BAGUE NOIRE;#0070C0 - une bague noire - Standard Orange"
1.15;VERT (VE) UNE BAGUE NOIRE;#92D050 - une bague noire - Standard Orange"
1.16;JAUNE (J) UNE BAGUE NOIRE;#FFFF00 - une bague noire - Standard Orange"
1.17;VIOLET (V) UNE BAGUE NOIRE;#7638A3 - une bague noire - Standard Orange"
1.18;BLANC (B) UNE BAGUE NOIRE;#FFFFFF - une bague noire - Standard Orange"
1.19;ORANGE (OR) UNE BAGUE NOIRE;#FFC000 - une bague noire - Standard Orange"
1.20;GRIS (GR) UNE BAGUE NOIRE;#C1C1C1 - une bague noire - Standard Orange"
1.21;MARRON (BR) UNE BAGUE NOIRE;#993300 - une bague noire - Standard Orange"
1.22;NOIR (N) UNE BAGUE NOIRE;#000000 - une bague noire - Standard Orange"
1.23;TURQUOISE (TU) UNE BAGUE NOIRE;#00B0F0 - une bague noire - Standard Orange"
1.24;ROSE (RS) UNE BAGUE NOIRE;#FF65CC - une bague noire - Standard Orange"
1.25;ROUGE (R) DEUX BAGUES NOIRES;#FF0000 - deux bagues noires - Standard Orange"
1.26;BLEU (BL) DEUX BAGUES NOIRES;#0070C0 - deux bagues noires - Standard Orange"
1.27;VERT (VE) DEUX BAGUES NOIRES;#92D050 - deux bagues noires - Standard Orange"
1.28;JADEUX (J) DEUX BAGUES NOIRES;#FFFF00 - deux bagues noires - Standard Orange"
1.29;VIOLET (V) DEUX BAGUES NOIRES;#7638A3 - deux bagues noires - Standard Orange"
1.30;BLANC (B) DEUX BAGUES NOIRES;#FFFFFF - deux bagues noires - Standard Orange"
1.31;ORANGE (OR) DEUX BAGUES NOIRES;#FFC000 - deux bagues noires - Standard Orange"
1.32;GRIS (GR) DEUX BAGUES NOIRES;#C1C1C1 - deux bagues noires - Standard Orange"
1.33;MARRON (BR) DEUX BAGUES NOIRES;#993300 - deux bagues noires - Standard Orange"
1.34;NOIR (N) DEUX BAGUES NOIRES;#000000 - deux bagues noires - Standard Orange"
1.35;TURQUOISE (TU) DEUX BAGUES NOIRES;#00B0F0 - deux bagues noires - Standard Orange"
1.36;ROSE (RS) DEUX BAGUES NOIRES;#FF65CC - deux bagues noires - Standard Orange"
1.37;ROUGE (R) TROIS BAGUES NOIRES;#FF0000 - trois bagues noires - Standard Orange"
1.38;BLEU (BL) TROIS BAGUES NOIRES;#0070C0 - trois bagues noires - Standard Orange"
1.39;VERT (VE) TROIS BAGUES NOIRES;#92D050 - trois bagues noires - Standard Orange"
1.40;JATROIS (J) TROIS BAGUES NOIRES;#FFFF00 - trois bagues noires - Standard Orange"
1.41;VIOLET (V) TROIS BAGUES NOIRES;#7638A3 - trois bagues noires - Standard Orange"
1.42;BLANC (B) TROIS BAGUES NOIRES;#FFFFFF - trois bagues noires - Standard Orange"
1.43;ORANGE (OR) TROIS BAGUES NOIRES;#FFC000 - trois bagues noires - Standard Orange"
1.44;GRIS (GR) TROIS BAGUES NOIRES;#C1C1C1 - trois bagues noires - Standard Orange"
1.45;MARRON (BR) TROIS BAGUES NOIRES;#993300 - trois bagues noires - Standard Orange"
1.46;NOIR (N) TROIS BAGUES NOIRES;#000000 - trois bagues noires - Standard Orange"
1.47;TURQUOISE (TU) TROIS BAGUES NOIRES;#00B0F0 - trois bagues noires - Standard Orange"
1.48;ROSE (RS) TROIS BAGUES NOIRES;#FF65CC - trois bagues noires - Standard Orange"
1.49;ROUGE (R) QUATRE BAGUES NOIRES;#FF0000 - quatre bagues noires - Standard Orange"
1.50;BLEU (BL) QUATRE BAGUES NOIRES;#0070C0 - quatre bagues noires - Standard Orange"
1.51;VERT (VE) QUATRE BAGUES NOIRES;#92D050 - quatre bagues noires - Standard Orange"
1.52;JAQUATRE (J) QUATRE BAGUES NOIRES;#FFFF00 - quatre bagues noires - Standard Orange"
1.53;VIOLET (V) QUATRE BAGUES NOIRES;#7638A3 - quatre bagues noires - Standard Orange"
1.54;BLANC (B) QUATRE BAGUES NOIRES;#FFFFFF - quatre bagues noires - Standard Orange"
1.55;ORANGE (OR) QUATRE BAGUES NOIRES;#FFC000 - quatre bagues noires - Standard Orange"
1.56;GRIS (GR) QUATRE BAGUES NOIRES;#C1C1C1 - quatre bagues noires - Standard Orange"
1.57;MARRON (BR) QUATRE BAGUES NOIRES;#993300 - quatre bagues noires - Standard Orange"
1.58;NOIR (N) QUATRE BAGUES NOIRES;#000000 - quatre bagues noires - Standard Orange"
1.59;TURQUOISE (TU) QUATRE BAGUES NOIRES;#00B0F0 - quatre bagues noires - Standard Orange"
1.60;ROSE (RS) QUATRE BAGUES NOIRES;#FF65CC - quatre bagues noires - Standard Orange"
1.61;ROUGE (R) CINQ BAGUES NOIRES;#FF0000 - cinq bagues noires - Standard Orange"
